"FIPS","date_partial_school_closed","date_all_school_closed","earliest_date_school_closed"
36003,"2020-03-16","2020-03-18",2020-03-16
36005,"NA","2020-03-16",2020-03-16
36007,"NA","2020-03-16",2020-03-16
36009,"NA","2020-03-16",2020-03-16
36011,"NA","2020-03-16",2020-03-16
36013,"2020-03-16","2020-03-18",2020-03-16
36015,"NA","2020-03-17",2020-03-17
36017,"2020-03-16","2020-03-18",2020-03-16
36019,"NA","2020-03-16",2020-03-16
36021,"NA","2020-03-16",2020-03-16
36023,"2020-03-16","2020-03-17",2020-03-16
36025,"2020-03-16","2020-03-18",2020-03-16
36027,"NA","2020-03-16",2020-03-16
36029,"NA","2020-03-16",2020-03-16
36031,"NA","2020-03-16",2020-03-16
36033,"NA","2020-03-16",2020-03-16
36035,"NA","2020-03-16",2020-03-16
36037,"NA","2020-03-16",2020-03-16
36039,"2020-03-13","2020-03-18",2020-03-13
36041,"NA","2020-03-16",2020-03-16
36043,"NA","2020-03-16",2020-03-16
36045,"NA","2020-03-16",2020-03-16
36047,"NA","2020-03-16",2020-03-16
36049,"NA","2020-03-16",2020-03-16
36051,"NA","2020-03-16",2020-03-16
36053,"NA","2020-03-16",2020-03-16
36055,"NA","2020-03-16",2020-03-16
36057,"NA","2020-03-16",2020-03-16
36059,"NA","2020-03-16",2020-03-16
36061,"NA","2020-03-16",2020-03-16
36063,"NA","2020-03-16",2020-03-16
36065,"NA","2020-03-16",2020-03-16
36067,"2020-03-16","2020-03-17",2020-03-16
36069,"NA","2020-03-16",2020-03-16
36071,"NA","2020-03-16",2020-03-16
36073,"NA","2020-03-16",2020-03-16
36075,"NA","2020-03-16",2020-03-16
36077,"NA","2020-03-16",2020-03-16
36079,"2020-03-13","2020-03-16",2020-03-13
36081,"NA","2020-03-16",2020-03-16
36083,"NA","2020-03-17",2020-03-17
36085,"NA","2020-03-16",2020-03-16
36087,"NA","2020-03-16",2020-03-16
36089,"NA","2020-03-16",2020-03-16
36091,"NA","2020-03-16",2020-03-16
36093,"NA","2020-03-16",2020-03-16
36095,"NA","2020-03-16",2020-03-16
36097,"2020-03-17","2020-03-18",2020-03-17
36099,"NA","2020-03-17",2020-03-17
36101,"NA","NA",NA
36103,"NA","2020-03-16",2020-03-16
36105,"NA","2020-03-16",2020-03-16
36107,"NA","2020-03-16",2020-03-16
36109,"NA","2020-03-16",2020-03-16
36111,"NA","2020-03-16",2020-03-16
36113,"NA","2020-03-16",2020-03-16
36115,"NA","2020-03-16",2020-03-16
36117,"NA","2020-03-16",2020-03-16
36119,"NA","2020-03-16",2020-03-16
36121,"NA","2020-03-16",2020-03-16
36123,"NA","2020-03-16",2020-03-16
42001,"NA","2020-03-16",2020-03-16
42003,"NA","2020-03-16",2020-03-16
42005,"NA","2020-03-16",2020-03-16
42007,"NA","2020-03-16",2020-03-16
42009,"NA","2020-03-16",2020-03-16
42011,"NA","2020-03-16",2020-03-16
42013,"NA","2020-03-16",2020-03-16
42015,"NA","2020-03-16",2020-03-16
42017,"NA","2020-03-16",2020-03-16
42019,"NA","2020-03-16",2020-03-16
42021,"NA","2020-03-16",2020-03-16
42023,"NA","2020-03-16",2020-03-16
42025,"NA","2020-03-16",2020-03-16
42027,"NA","2020-03-16",2020-03-16
42029,"NA","2020-03-16",2020-03-16
42031,"NA","2020-03-16",2020-03-16
42033,"NA","2020-03-16",2020-03-16
42035,"NA","2020-03-16",2020-03-16
42037,"NA","2020-03-16",2020-03-16
42039,"NA","2020-03-16",2020-03-16
42041,"NA","2020-03-16",2020-03-16
42043,"NA","2020-03-16",2020-03-16
42045,"NA","2020-03-16",2020-03-16
42047,"NA","2020-03-16",2020-03-16
42049,"NA","2020-03-16",2020-03-16
42051,"NA","2020-03-16",2020-03-16
42053,"NA","2020-03-16",2020-03-16
42055,"NA","2020-03-16",2020-03-16
42057,"NA","2020-03-16",2020-03-16
42059,"NA","2020-03-16",2020-03-16
42061,"NA","2020-03-16",2020-03-16
42063,"NA","2020-03-16",2020-03-16
42065,"NA","2020-03-16",2020-03-16
42067,"NA","2020-03-16",2020-03-16
42069,"NA","2020-03-16",2020-03-16
42071,"NA","2020-03-16",2020-03-16
42073,"NA","2020-03-16",2020-03-16
42075,"NA","2020-03-16",2020-03-16
42077,"NA","2020-03-16",2020-03-16
42079,"NA","2020-03-16",2020-03-16
42081,"NA","2020-03-16",2020-03-16
42083,"NA","2020-03-16",2020-03-16
42085,"NA","2020-03-16",2020-03-16
42087,"NA","2020-03-16",2020-03-16
42089,"NA","2020-03-16",2020-03-16
42091,"NA","2020-03-16",2020-03-16
42093,"NA","2020-03-16",2020-03-16
42095,"NA","2020-03-16",2020-03-16
42097,"NA","2020-03-16",2020-03-16
42099,"NA","2020-03-16",2020-03-16
42101,"NA","2020-03-16",2020-03-16
42103,"NA","2020-03-16",2020-03-16
42105,"NA","2020-03-16",2020-03-16
42107,"NA","2020-03-16",2020-03-16
42109,"NA","2020-03-16",2020-03-16
42111,"NA","2020-03-16",2020-03-16
42113,"NA","2020-03-16",2020-03-16
42115,"NA","2020-03-16",2020-03-16
42117,"NA","2020-03-16",2020-03-16
42119,"NA","2020-03-16",2020-03-16
42121,"NA","2020-03-16",2020-03-16
42123,"NA","2020-03-16",2020-03-16
42125,"NA","2020-03-16",2020-03-16
42127,"NA","2020-03-16",2020-03-16
42129,"NA","2020-03-16",2020-03-16
42131,"NA","2020-03-16",2020-03-16
42133,"NA","2020-03-16",2020-03-16
17001,"NA","2020-03-16",2020-03-16
17003,"NA","2020-03-17",2020-03-17
17005,"NA","NA",NA
17007,"NA","2020-03-16",2020-03-16
17009,"NA","NA",NA
17011,"NA","2020-03-16",2020-03-16
17013,"NA","NA",NA
17015,"NA","2020-03-17",2020-03-17
17017,"NA","2020-03-16",2020-03-16
17019,"NA","2020-03-13",2020-03-13
17021,"NA","2020-03-16",2020-03-16
17023,"NA","2020-03-16",2020-03-16
17025,"NA","2020-03-17",2020-03-17
17027,"NA","2020-03-16",2020-03-16
17029,"NA","2020-03-16",2020-03-16
17031,"NA","2020-03-17",2020-03-17
17033,"NA","2020-03-17",2020-03-17
17035,"NA","2020-03-16",2020-03-16
17037,"NA","2020-03-16",2020-03-16
17039,"NA","2020-03-16",2020-03-16
17041,"NA","2020-03-16",2020-03-16
17043,"NA","2020-03-16",2020-03-16
17045,"NA","2020-03-17",2020-03-17
17047,"NA","2020-03-17",2020-03-17
17049,"NA","2020-03-16",2020-03-16
17051,"NA","2020-03-17",2020-03-17
17053,"NA","2020-03-17",2020-03-17
17055,"NA","2020-03-17",2020-03-17
17057,"NA","2020-03-17",2020-03-17
17059,"NA","2020-03-17",2020-03-17
17061,"NA","2020-03-17",2020-03-17
17063,"NA","2020-03-17",2020-03-17
17065,"NA","NA",NA
17067,"NA","2020-03-16",2020-03-16
17069,"NA","2020-03-17",2020-03-17
17071,"NA","2020-03-17",2020-03-17
17073,"NA","NA",NA
17075,"NA","2020-03-17",2020-03-17
17077,"NA","2020-03-17",2020-03-17
17079,"NA","2020-03-17",2020-03-17
17081,"NA","2020-03-17",2020-03-17
17083,"NA","2020-03-17",2020-03-17
17085,"NA","2020-03-17",2020-03-17
17087,"NA","2020-03-17",2020-03-17
17089,"NA","2020-03-16",2020-03-16
17091,"NA","2020-03-17",2020-03-17
17093,"NA","2020-03-17",2020-03-17
17095,"NA","2020-03-16",2020-03-16
17097,"NA","2020-03-16",2020-03-16
17099,"NA","2020-02-17",2020-02-17
17101,"NA","2020-03-17",2020-03-17
17103,"NA","2020-03-16",2020-03-16
17105,"NA","2020-03-17",2020-03-17
17107,"NA","2020-03-17",2020-03-17
17109,"NA","2020-03-16",2020-03-16
17111,"NA","2020-03-16",2020-03-16
17113,"NA","2020-03-16",2020-03-16
17115,"NA","2020-03-16",2020-03-16
17117,"NA","2020-03-16",2020-03-16
17119,"NA","2020-03-17",2020-03-17
17121,"NA","2020-03-17",2020-03-17
17123,"NA","2020-03-17",2020-03-17
17125,"NA","2020-03-17",2020-03-17
17127,"NA","2020-03-17",2020-03-17
17129,"NA","2020-03-16",2020-03-16
17131,"NA","2020-03-16",2020-03-16
17133,"NA","2020-03-17",2020-03-17
17135,"NA","2020-03-16",2020-03-16
17137,"NA","2020-03-16",2020-03-16
17139,"NA","2020-03-16",2020-03-16
17141,"NA","2020-03-16",2020-03-16
17143,"NA","2020-03-16",2020-03-16
17145,"NA","2020-03-17",2020-03-17
17147,"NA","2020-03-17",2020-03-17
17149,"NA","2020-03-16",2020-03-16
17151,"NA","2020-03-17",2020-03-17
17153,"NA","2020-03-17",2020-03-17
17155,"NA","2020-03-17",2020-03-17
17157,"NA","2020-03-17",2020-03-17
17159,"NA","NA",NA
17161,"NA","2020-03-17",2020-03-17
17163,"NA","2020-03-16",2020-03-16
17165,"NA","2020-03-16",2020-03-16
17167,"NA","2020-03-16",2020-03-16
17169,"NA","2020-03-17",2020-03-17
17171,"NA","2020-03-16",2020-03-16
